Destination,Country code,World,Other North,Other South,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
Poland,616,663755,5523,1841,152,135,625,,,62,,4,293,2256,,974,4061,285,0,9,107,11,81363,5593,1,4,,0,52,3727,,280,,,1854,1,8,28,40,3163,,,,9,,,64,1262,0,,133,17,114,,39,5,843,242,7,223,4836,0,16,957,0,,22,49,485,1,,26,214,47,,,10,269,27991,,5,10,7,350,81779,39,,3321,6,6,,0,7,61,,28,0,,7,1440,528,919,122,248,456,8136,,372,10647,3,547,147,4934,66,,206,134,15,1662,411,0,0,257,0,54057,248,12,0,44,,33,15,,0,0,4,,227,,26,345,64,,341,29,6,6,,60,2776,0,114,6,4,408,,0,1638,3,229,,36,0,3,120,209,,147,0,27,127,595,,2659,40879,6,0,,,,,,0,0,188,95,1109,10,10,16,,1389,164,,15,408,66,5166,93,,55,0,0,1401,1088,631,63,105,284,,14,0,,3,439,937,58,,,68,221307,134,37020,74,14651,,101,532,0,78,2992,0,0,123,45,111
Republic of Moldova,498,391508,2298,2233,103,,,,,,,,,3103,,,,6089,,,,,34291,,,,,,,,,,,,124,,,,,,,,,,,,,361,,,,,,,,,,,,,,1850,,,,,,,,,,,1210,,,,,490,,,,,,4571,2864,,,,,,,,,,,,,,,160,,,,,,,,,,,,,18312,,,,2628,,4796,,,,,,5946,,,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,8374,,,,,,,1119,221965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2677,,,,,,,,,1108,1365,,,,51908,,133,,437,,,10696,,,168,,,,,
Romania,642,198839,5739,1914,9,755,17,,6,1,7,,11,14,,72,635,9,,,13,,1,1588,2,,,9,2,139,2,8,,,18271,,,4,5,572,1,,,2,1,,7,3604,,,8,,4,,3,,1482,5,,291,583,,3,111,,,3,3,74,2,,,5,3,,,,135,3469,,,4,3,2,3597,4,,6065,,1,,,3,4,21,5,2,,6,7610,11,28,15,1155,1270,953,8,572,27462,6,284,964,11,2,2,50,,,6,1597,,1,27,2,8,24,1,1,1,3,1,8,,,,1,,17,,3,6,1,,14,1,,,1,,466,,49,,,9,,,51,,30,,21,,1,11,8,490,978,,10,15,49785,,,7280,1,,,,,,,2,,17,4,2069,1,8,5,,248,88,,6,17,10,14506,,54,8,10,,191,163,7479,2,3,538,,,,,12,19,3811,1,,,2,11903,102,3846,,2985,,,8,,16,41,,,8,,3
Russian Federation,643,11048064,,,4934,228,754,43,8,494,48,1,244,510640,0,526,2859,743111,24,12,458,9,740148,458,8,92,5,6,83,499,28,419,2,5,5656,430,127,111,324,541,45,,4,89,148,9,103,54398,58,1,200,86,563,3,32,107,311,2156,9,695,10903,10289,15,225,10,9,22,234,1028,7,101,6,56896,264,0,1,2,2141,2486,4,0,16,11,436005,137542,307,4,1891,3,21,1,2,12,197,127,18,23,14,22,16310,44,5522,158,1949,955,170,5,3533,1838,17,992,791,2479430,437,3,84,572678,117,86567,939,7,9,262,4,68834,35,82,29,1508,45,72,52,5,9,21,62,12,197,1,45,20476,256,2,1067,108,607,116,5,170,532,1,85,59,30,771,,49,678,51,706,1,25,2,36,268,143,28286,226,3,26,3604,285023,1,3788,,45,6,0,2,1,,3,46,15,212,71,,17,12,49,2,1774,339,19,57,233,138,1350,569,550,113,14,19,462,563,3162,451778,210,248,0,18,0,4,9,325,9914,179802,2,565,80,2939083,344,1688,210,4445,11,116,1110593,9,96,13241,0,31,628,458,71
Slovakia,703,149635,,,120,56,60,,1,16,,27,70,104,,225,2373,16,2,15,9,1,150,592,1,9,0,,15,313,2,49,,,1115,3,5,6,6,435,,,3,2,142,,16,585,,,30,,11,,5,4,583,96,,70,83050,13,7,100,,5,13,23,110,2,,,28,22,1,,,58,2250,,1,,1,54,2757,11,,208,3,2,,,4,5,2,2,,3,2,15895,26,95,21,45,40,691,3,122,1570,12,93,46,143,15,4,48,16,4,49,59,2,3,40,6,72,53,16,6,12,,,13,,,2,6,,75,4,5,58,40,,32,3,3,1,,5,397,1,28,8,1,50,,,204,3,34,,13,3,4,39,15,4379,62,0,2,270,67,,4890,2213,2,1,,,,,1,1,1,24,9,1501,5,2,5,,,192,1,7,23,7,488,3,22,6,,1,126,542,154,5,39,466,,1,,,4,76,157,12,,1,8,9398,65,4276,1,2199,,13,40,1,15,1477,,,26,11,3
Ukraine,804,5151378,259755,212526,,,,,,,,,,49862,,,,86741,,,,,258781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10509,,,,,,,,,,,67875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234238,,,,28172,,20038,,,,,,25097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157826,,,3453506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30954,,,,,,,,,,23824,,,,,,,,,,,231674,,,,,,,,
Northern Europe,924,12429626,110020,108485,111608,20294,28069,1,19,15386,0,21,22484,5165,40,128690,26782,8023,6397,6428,252845,20296,109008,41045,43,237,144,951,5530,98872,543,77764,9,5297,79115,236,4597,1484,16376,111204,922,7,72,123,137,24250,43675,223257,91220,49,48188,29,12960,0,951,2072,21064,4626,61,68255,52536,853,32085,98845,330,5129,1761,9057,40312,3235,65,44014,66218,46143,13271,6,6200,195663,176399,1,7,57,17316,5810,455636,90379,13390,57413,16358,8439,1,0,1863,1030,236,21501,370,1,706,84827,22293,817721,17327,178826,261637,424008,0,27323,165083,146504,51878,12842,23462,153949,6,18166,2923,753,122336,58732,174,2537,23448,61,236495,1320,719,16724,63322,45,256,29848,2,1,164,51287,0,17168,2,91,2851,2218,5177,45563,7919,17236,455,2,50214,92746,8,60134,1259,250,211258,0,0,84616,5506,529503,3,482,78,517,10656,184145,987054,104791,14,335,50168,8083,0,169164,528919,1973,15,7,8102,1,6273,81,12,11,40555,1253,45929,137,17256,43974,15,80234,1958,19,183168,228468,3458,113427,160974,13204,8046,148,153,148123,27738,44975,1756,118487,11706,9,984,0,68,22945,16508,181596,1595,2,2,70692,114450,11547,438147,35564,305470,3,2990,8379,7,11388,77574,0,3,18246,36575,119600
Channel Islands,830,82592,1209,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,2223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73030,,,,,,,,,,,,,
Denmark,208,556825,,,11924,312,928,,1,155,,4,1191,666,5,2935,1858,301,18,90,1056,33,691,1996,6,47,0,597,450,18221,66,3242,,6,5457,99,538,231,693,3699,28,,,10,16,,1568,11342,512,0,3180,13,734,0,169,435,796,470,,179,1123,376,963,,21,14,160,581,1659,83,,319,1459,2077,11985,,22,3717,6922,0,0,5,632,215,35316,1844,,2097,15986,10,0,,235,112,59,100,154,,126,3861,8199,9343,1122,13727,21974,1597,,1663,6194,170,1869,1183,205,1559,1,1371,48,60,4321,12704,48,170,239,20,8666,489,58,87,833,9,50,99,0,0,26,142,,1125,,17,59,154,,5477,203,1746,62,,1993,6950,,811,188,16,1369,,,19767,28,12686,,80,8,70,1076,10585,30931,1517,0,88,8924,413,0,13615,5607,383,,,9,,8,19,2,0,260,152,3524,19,343,756,,1312,328,3,10389,1823,380,5732,8032,0,314,29,48,21988,2615,4203,27,12045,2908,,144,,17,164,900,32829,15,,,1441,6682,362,18047,1036,12029,,234,272,4,687,10131,,,164,590,414
Estonia,233,209984,,,,,,,,,,,,500,,,,1209,,,,,12419,,,,,,,,,,,,,,,,,51,,,,,,,,105,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,1152,73,,,,,1323,816,,,,,,,,,,,,,,,65,,45,,,,,,,,,,,3205,,,,475,,3609,,,,,,1753,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,417,,,,,731,,,159036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,299,,,,,,,,,,312,,,,21014,,54,,161,,,911,,,,,,,,
Faeroe Islands,234,3641,,,3,,3,,,,,,8,,,39,3,,,,,,,8,,,,,3,,,66,,,31,,,,8,26,3,,,,,,3,26,,,3,,,,,8,94,3,,,11,,,,,,,,,,,,11,39,,,,34,23,,,,,,46,31,,3,,,,,,,,,,,,8,672,11,11,8,,3,,11,11,,8,3,,3,,,,,,,,11,3,,55,8,8,,19,,,3,,,,23,,26,,,,,,11,,,,,,15,,8,,,8,,,384,,,,,,19,11,157,298,15,,,8,,,195,97,,,,,,3,,,,,,152,,,,,19,,,,8,2,8,11,,1,,,109,11,3,,211,11,,3,,,3,23,3,,,,,15,,252,8,97,,,,,21,,,,,,
Finland,246,293167,1721,431,3295,236,816,,2,436,0,1,359,91,1,1144,622,116,9,18,1753,13,282,564,2,13,2,5,152,691,13,1233,,0,1492,10,48,271,662,1720,10,,0,2,8,,436,8874,,,1027,3,113,,63,132,206,419,,153,714,2,1282,1027,8,6,152,189,985,59,13,81,34013,1878,,0,9,,2345,,0,10,561,48,6973,1139,0,903,0,1,,,77,67,7,23,13,1,51,2045,180,4934,418,5117,9074,549,0,832,2192,70,1377,281,213,1128,0,127,41,30,1422,574,0,120,183,0,825,91,16,20,443,1,6,36,0,,15,41,0,683,0,3,56,3,0,2001,66,1178,81,0,1592,1494,0,228,102,22,1844,,,1801,7,1774,0,25,9,17,490,2434,3426,442,,16,507,116,,2182,68434,305,0,1,5,0,3,3,0,0,288,147,107,8,127,181,,153,33,5,10093,771,,2050,878,39,,2,14,36117,1080,539,43,8542,131,0,63,,1,30,661,6227,22,0,2,163,1272,109,5570,513,4896,0,102,108,1,167,5558,0,,45,174,77
Iceland,352,34377,,,9,35,27,,1,33,,,30,5,1,95,135,12,7,1,4,2,40,97,1,1,3,,15,147,,121,,0,132,1,,2,8,250,35,,0,,,,72,517,0,,161,,0,,4,2,157,38,,4,159,0,2,3066,2,1,28,30,29,12,6,6,150,63,332,,1,180,463,,,0,9,20,1592,47,0,24,73,,,,31,17,1,19,10,,28,166,,286,122,53,49,88,,32,224,16,86,12,18,67,,4,1,1,683,30,,2,2,,1454,122,1,2,31,,1,3,,,,5,,77,,1,22,6,,153,17,1,34,0,95,287,,52,6,1,63,,,981,4,30,,4,1,5,72,1479,9357,454,0,2,35,12,,223,350,2,,,,,,,,,8,20,336,,15,14,,168,33,1,1,78,,314,163,6,,0,0,1876,143,19,2,1122,29,,3,,1,4,22,65,1,,,37,228,2,1184,21,1855,,7,6,,34,549,,,0,8,9
Ireland,372,735535,,,485,757,1241,,4,1009,0,6,699,139,12,5520,777,154,47,186,2636,36,1211,1614,10,60,118,32,100,1114,245,8473,0,25,1952,17,124,41,916,4495,18,1,69,11,24,,294,10459,309,,,2,2113,,26,318,905,184,8,283,5948,339,559,964,3,5,37,100,1298,53,1,163,2693,525,9,6,41,958,10940,,1,11,78,645,14253,1265,61,623,3,24,,,255,172,8,61,14,,30,8040,62,16397,271,912,1584,,,431,7780,237,967,287,583,968,1,511,85,56,21751,263,69,247,713,9,37823,152,29,286,3474,8,41,367,1,,36,2640,,819,1,14,573,26,6,661,96,238,66,,498,4935,8,1894,33,127,18540,,,507,155,7517,,32,24,52,314,13099,124566,2445,,73,525,3161,,19566,5547,159,11,2,14,1,14,29,1,,1819,44,704,29,404,442,2,11534,207,3,1360,7546,797,7658,566,137,657,41,48,1839,1026,282,45,1764,580,5,308,,13,225,236,1164,14,2,,426,3843,452,253605,266,24857,,131,227,1,443,1620,,3,62,646,2597
Isle of Man,833,44688,1231,635,,,,,,,,,,,,321,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,,,,,,,,,,,,,,,,,,,,,,,,,,,39344,,239,,,,,,,,,,,
Latvia,428,282887,,,37,8,20,,2,2,0,1,21,821,1,146,140,2214,,2,6,1,49235,116,,1,,,,5,,34,,,513,,1,1,7,134,2,,,2,,,5,211,,,8,,2,,2,3,6,53,,26,220,11,,260,,,2,3,37,,,1,3180,,,,,247,339,,,,1,1472,2912,,,35,2,,,,2,,,,,,,225,36,91,3,39,14,790,,111,311,1,16,5,6452,4,,3,896,,,41,,,6,1,18187,12,1,1,3,,2,10,,,,2,,37,,,119,,,13,1,,,,13,130,,14,0,,18,,,199,,36,1,1,,2,7,7,1120,57,,1,38,1875,,128,146628,2,,,,,,,,,4,,6,,2,4,,62,11,,7,12,3,227,31,3,2,,,424,93,18,610,15,,,1,,,3,3,98,650,,,3,36106,7,1423,2,677,,3,2107,,32,10,,,1,,4
Lithuania,440,147781,4922,1641,17,10,11,,,,,,62,522,,30,54,958,,,2,,35708,81,,,,,4,,,54,,,88,,,,,71,,,,,,,1,252,,,17,,3,,4,1,5,14,,12,60,4,,213,,,0,3,19,1,,1,885,2,,,,89,253,,,,,693,1906,3,,30,,,,,,,,,,,1,86,34,55,0,21,4,934,,124,213,,27,5,5375,1,,4,430,,6440,115,,1,1,0,,15,1,1,1,,,4,,,1,,,16,,1,45,,,3,1,,3,,1,80,,6,,0,18,,,166,,34,,2,,3,9,4,2425,33,,1,22,738,,27,62143,1,,,,,,,,,3,2,,0,1,0,,14,5,,3,13,,461,9,1,,1,,152,38,13,371,10,10,,,,1,,6,106,279,,,1,13322,26,2187,1,1107,,17,1181,,10,46,,,0,1,1
Norway,578,694508,179,59,12481,573,1303,1,7,473,,3,1036,272,20,2199,1622,514,18,29,928,22,889,1621,12,29,11,294,529,14717,126,4648,5,36,3578,29,1079,397,700,3225,449,6,3,6,28,,7278,11430,1267,49,5813,5,198,,284,338,3265,912,53,154,1847,44,2072,26235,51,16,738,715,934,190,2,9258,4123,6960,945,,45,7478,6104,1,6,7,1219,270,30819,1815,9,1315,294,3,1,,462,227,32,99,40,,106,3138,7809,10280,1583,16198,24763,1011,,851,3161,179,1449,409,816,1825,,395,175,106,7565,2006,13,1045,441,30,25623,144,507,110,749,10,44,80,,1,32,202,,1101,,18,119,384,,5825,174,3175,94,,1196,8850,,653,186,48,1447,,,,49,20324,,57,7,155,1406,18205,76184,1764,14,53,8156,456,0,7281,17247,644,4,3,14,,25,5,5,,493,228,13752,14,544,735,13,3170,274,3,23278,1438,903,4124,10120,3559,745,42,16,53082,2270,1796,109,17151,2553,,117,,5,383,1022,12165,77,,,985,3520,343,20322,994,18669,3,236,420,,910,14995,,0,311,576,281
Sweden,752,1519510,89169,939,21919,1652,2831,,2,744,,6,3023,2149,,3625,5905,2545,31,81,6852,120,2481,2181,12,86,10,23,4277,57741,93,6647,4,8,7506,80,2807,541,1340,3354,377,,,92,61,,29000,28596,610,,11356,6,765,,399,835,6552,2533,,599,1495,77,2632,45104,245,44,644,2239,5062,2837,43,14013,10350,15144,,,61,167185,8554,,,24,4371,1124,49717,2318,8,13472,,45,,,801,435,129,126,139,0,364,15995,5301,19808,2308,66978,130449,2247,,2482,8810,326,3256,3346,1577,2991,4,1702,772,500,5891,25244,44,941,1791,1,8993,287,98,80,1451,17,112,145,1,,54,188,,2245,1,37,1810,1645,,8339,336,1498,115,2,795,9591,,1092,744,36,3637,,,43752,41,10958,2,281,29,194,7271,11203,76848,3222,,101,10773,581,,22526,17670,477,,1,32,,15,25,4,11,2169,660,27348,67,768,699,,1340,1067,4,44856,2249,1373,7864,7024,4313,1130,33,27,0,3316,28067,250,36274,5484,4,345,,30,307,4603,45998,225,,0,3413,5921,938,23129,1615,18682,,2260,3147,1,1015,15994,,,1034,461,509
United Kingdom of Great Britain and Northern Ireland,826,7824131,11589,104302,61438,16711,20889,,,12534,,,16055,,,112636,15666,,6267,6021,239608,20069,6052,32767,,,,,,6236,,53246,,5222,58366,,,,12042,94000,,,,,,24022,5018,151445,88522,,26623,,9032,,,,9078,,,66845,40959,,24575,21933,,5043,,5197,30289,,,20172,9354,19455,,,6021,14623,139259,,,,10445,,311286,81917,13312,38911,,8356,,,,,,21073,,,,51198,,756471,11489,75773,73726,412658,,20786,136187,145505,42823,7311,5018,145403,,14049,,,70654,17755,,,20069,,133116,,,16137,56318,,,29101,,,,48044,,11039,,,,,5171,23080,7025,9400,,,44031,60414,,55294,,,184314,,,17059,5222,476144,,,,,,126972,661482,90314,,,21180,,,103421,46160,,,,8028,,6205,,,,35511,,,,15052,41143,,62462,,,93181,214009,,84989,134140,5146,5197,,,32378,17146,10035,,41353,,,,,,21826,9032,82941,,,,64223,22527,9308,,31108,222201,,,,,8069,28671,,,16629,34119,115708
Southern Europe,925,15998197,21678,159407,4333,1072266,85487,7,6237,167046,4,45,356116,19568,93,36633,32599,846,101,54,112286,66,32354,101360,40,2821,3,39,200218,829050,90,379987,0,30,283671,11815,848,1344,16157,45643,72307,10,33,253,284,3,76070,362733,198,2063,399164,27,6302,0,4829,26221,257257,149225,88,12638,21175,265,8906,17414,106,1203,54939,544006,121977,20049,21774,13435,3240,37420,0,0,77,17420,468510,3,36,916,20424,58221,536283,59764,28,27103,19,29,42,3,9364,19873,36018,114,717,147,38276,29187,1886,175432,4744,22252,13117,23730,39,8082,117680,428,16816,6123,8574,5457,2,627,1190,260,7227,13051,48,3166,40195,511,26536,11398,1989,655,727,83,23573,2265,14,0,11294,9671,0,56033,1,26014,260,144800,3,1176030,73347,355,121,2,5302,76453,1,2228,19490,646,89328,0,29,21492,50,173493,18,5504,101,89439,303939,176207,219098,156167,39,83,8484,195505,10,1874126,174347,721,55,4,23,22,38,65,2159,18593,1749,140509,300587,1120,2653,709,23,19578,70582,7,12005,23104,1715,72634,82396,654,1414,55,2157,35235,291086,18356,205,12106,177694,1805,4950,0,26,225,120217,104375,239,0,5,1045,361615,353,498504,1626,111465,29,88561,5473,23,231498,6610,43,6,371,973,2230
Albania,8,96798,4847,968,,,,,,,,,,,,,,,,,,,,,,,,,,29077,,,,,,,,,,,,,,,,,,,,,,,,,,,13203,,,,,,,,,,,,435,,,,,,,,,,,,,,,,228,,,347,,,,,,,,,,,,703,,,,,,,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,,,,,,,,,,,,34896,,,,,,804,,,,,,,,,,,,,,,,4764,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,20,45086,1626,542,,,,,,,,,708,,,61,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,4145,,,,,,339,,,,,,,,,,,,,,,,,93,,,,,,,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,,,,,,222,,,,,,,,,,,,,,,,383,,11830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22411,,,,,,46,75,,,,,,,,,,,,,,,,,,973,,86,,106,,,,,,,,,
Bosnia and Herzegovina,70,23197,278,279,,12,,,,,,,5,,,26,123,,,,,,6,8,,,,,,,,5,,,55,,,,,18,,,,,,,7,18,,,,,,,,,7506,,,,50,,,3,,,,,,,,,,,,,,,102,,,,,,326,,,40,,,,,,,,,,,,94,,,,,8,,,,69,,,4,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,2584,,,,,,,,15,,3,,,,,,,,,,,,,3,,38,,,,,8,,239,105,,,,,,,,,,,,6005,,,,,1991,1153,,,3,,,,,,,,21,39,4,,,1809,,,,,,,8,,,,,58,,10,,45,,,,,,,,,,2,
Croatia,191,756980,3533,3149,,,,,,,,,227,,,1107,2019,,,,,,,306,,,,,,499059,,195,,,,,,,,755,,,,,,,195,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,1326,,,,,,8213,,,,,,,,,,,,,,,2657,,,,,,,,,3294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39357,,,,,,,,371,,130,,,,,,,,,,,,,85,,1045,,,,,,,,,,,,,,,,,,,,118071,,,,,,47768,,,,,,,,,,,447,741,,,,20677,,,,,,,,,,,,,,290,,1893,,,,,,,,,,,
Gibraltar,292,9662,1173,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2491,,,,,,,,,,,,,,,,,,,,,,,,,4327,,,,,,,,,,,,,
Greece,300,988245,,,309,574840,453,7,13,0,4,0,570,7779,87,1034,594,134,2,2,16871,0,916,449,4,18,3,0,18,882,0,115,0,,55988,4,29,0,252,1278,38,2,32,7,18,3,306,4414,61,,393,0,345,0,18,20,461,460,19,11496,1293,4,49,305,0,80,697,116,11026,53,4,180,29,2361,0,,22,362,1479,3,36,0,49,37912,11117,1051,26,,19,0,42,3,4,18,0,20,7,0,33,933,0,9218,242,3335,7704,317,39,408,3368,2,1164,290,2680,564,,0,154,0,167,2748,0,9,245,0,371,717,49,,4,53,4,20,9,0,20,53,,696,,23920,0,534,2,1086,2,22,11,,51,3735,,96,47,111,3935,,29,11,0,24549,0,38,2,85,252,5850,11765,4,39,0,325,6284,10,38597,16282,29,55,0,,22,2,2,4,7,38,180,8365,31,205,51,5,295,478,0,13,2923,312,18,1791,299,257,2,1513,2724,58,7500,0,390,3390,2,4,0,,7,1358,6487,31,,0,120,14174,0,8445,229,1379,29,49,2124,2,232,40,42,2,27,33,65
Holy See,336,799,479,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,380,5721457,,,4006,449657,24601,,89,1837,,43,84532,1008,,21318,12326,640,94,47,81934,52,26433,49407,24,2372,,35,14763,9946,69,113929,,30,57794,10585,812,1340,9836,27293,6321,,,206,256,,13084,184911,,,38873,25,3266,,1464,22794,21510,31930,,714,9125,179,5451,3818,106,277,39712,92228,103111,10749,117,13221,1375,31547,,,54,3144,146537,,,328,1005,8534,230610,42837,,20926,,22,,,1964,3146,551,81,693,147,1951,12176,501,120224,2180,13115,3344,3917,,4577,,380,9460,3445,3418,3245,2,588,1028,254,2920,7047,27,2316,38548,178,5426,5092,1900,176,625,30,1226,1881,5,,569,9600,,7567,1,2085,236,3917,,425188,801,316,85,2,1525,14235,,1006,1072,509,48073,,,1970,43,71508,18,1047,94,2500,113230,129788,128158,7001,,78,4206,151313,,1008169,81356,661,,4,23,,36,49,2155,80,941,79102,62564,1081,1343,601,,8236,3796,5,11961,6026,1378,30809,80543,321,1136,36,37,7224,207013,5503,183,9300,68714,27,4382,,26,187,115588,20840,184,,5,891,213303,319,72234,1320,60037,,8267,2397,21,51207,4983,,,318,859,932
Malta,470,34455,,,1,106,53,,1,1,,2,19,28,,5463,125,2,2,4,18,5,26,130,8,,,,1,171,1,67,,,507,1,,,4,2136,1,,,,4,,12,364,,,11,,11,,1,7,122,1,,53,67,2,8,84,,,,4,627,,43,26,5,63,,,,57,285,,,,1,32,1063,18,,73,,,,,2,1,,5,2,,1,37,5,320,30,23,80,313,,21,1572,8,39,32,15,47,,22,4,1,30,75,19,8,1061,,25,2,,5,40,,,,,,9,4,,1,,8,1,,,206,,11,4,,2,471,,23,,26,126,,,43,1,136,,,,1,21,232,136,26,,,9,46,,493,841,1,,,,,,11,,,28,1,663,4,8,21,,90,45,,19,112,12,78,23,32,10,2,8,184,112,251,,105,98,,,,,23,395,195,1,,,2,203,18,11429,5,1528,,,19,,5,1,,,11,14,39
